userName,content,score,at
YKT' Klam,"Baru download sementara 4 dulu ya, dari penampilan dan info penjelasan oke lah",4,2023-05-29 15:14:24
Evy Yuliati,"program program layanan yang ditawarkan oleh pihak indihome sangat menarik selain itu juga kita bisa menghubungi teknisi dengan mudah ketika ada masalah serta bisa check status jaringan, riwayat penggunaan data, device yg terhubung ke wifi, dan banyak lagi, pokoknya recommended bangetttttt!!!!!",5,2023-05-29 15:11:23
Ophale,Aplikasi myIndihome sangat recommended karena mempermudah para user untuk menghubungi para teknisi ketika ada masalah selain itu aplikasi sangat simple dan layanan yang diberikan sangat menarik,5,2023-05-29 15:09:45
Steven Son,Aplikasinya sangat bagus dan sangat membantu.👍👍👍,5,2023-05-29 15:02:59
andika hermawan,Mantap,5,2023-05-29 14:54:08
riska,Sangat membantu sekali,5,2023-05-29 14:37:45
bela zr,"aplikasinya sangat memudahkan saya sebagaimana customer indiHome,sangat sangat bermanfaat terimakasih atas dibuatnya aplikasi ini",5,2023-05-29 14:32:36
Sheila Sheila,"Dapat telepon dari telemarketer my Indihome, yang nawarin aktifin video dan tambahan upgrade kecepatan internet dari 30 Mbps ke 40bps, gratis sih infonya...penjelasan detail banget tapi sayang keputus karena saat telpon lagi dijalan. Semoga Indihome ttp jaga kualitas dan jangan sering gangguan",5,2023-05-29 14:01:49
Deden syamsul rw,Bagus,5,2023-05-29 13:57:10
Arif Suherman,Ok,5,2023-05-29 13:35:42
Retro Aisi,"Makin kesini makin lemoot,apalagi kalau pas tgl 20,padahal tanggal dan harinya blm hbs wkt tp baleho peringatan segera lakukan pembayaran gede banget...tp lagi,pas giliran jaringan bermasalah bahkan sering mati Indihome gak bisa dihubungi....TELKOM DAN INDIHOME perusahaan profesional?????? Tambahan lagi...sdh seminggu sering mati...gnt aj namanya indigubuk👎👎👎👎 ""Saya pelanggan yg sangat kecewa""",1,2023-05-29 13:35:03
Haikal Renhoran,mohon jaringannya kedepan lebih baik lagi,5,2023-05-29 13:20:59
Muhammad Alfatih,"Aplikasi yang wajib bagi pengguna Indihome. Banyak fitur, penawaran yang menarik.",5,2023-05-29 13:14:53
zea jagadita,baik,5,2023-05-29 13:11:58
Sofiandi andi,Oke BangetLah Cukup Bintang Yg Berbicara,5,2023-05-29 13:08:53
Airlangga Perbangsa,"Aplikasi yang bagus, tidak berat. Banyak penawaran yang menarik.",5,2023-05-29 13:04:52
Muhammad Arifin,Aplikasi sangat membantu,5,2023-05-29 13:01:07
billy wildan,Mantap,5,2023-05-29 12:58:55
Siti J,Tampilannya bagus enak dilihat dan lengkap juga fiturnya,5,2023-05-29 12:45:00
Kyra Queenshaa,Penawaran yang disediakan dalam aplikasi myIndiHome sangat menarik,5,2023-05-29 12:40:07
ade suryaputra,laporan susah.. internet sering putus,1,2023-05-29 12:11:40
Umayah Umayah,"Aplikasi nya bagus, rekomended banget karna mudah di pahami, jelas, dan fitur fitur nya lengkap",5,2023-05-29 12:04:18
Ivan Nurhidayat,"Desai apps nya udah bagus, dan memudahkan kita untuk melihat produk2 dan status paket yg aktif bagi pengguna. Namun ada hal yg perlu diperbaiki, seperti diperdetail lagi untuk rincian paket yang aktif, diperdetail lagi rincian tagihan pembayaran (dipisah antara paket utama dan add-ons upspeed dan tambahan langganan lainya). Serta untuk detail pemakaian bulanan ditambahkan detail FUP nya (besar internet yg telah digunakan dengan batas FUP nya)",5,2023-05-29 11:48:36
Ahmad Nopelju,Semenjak saya menggunakan indihom sampai saat ini tidak ada masalah lancar dan aman 👍,4,2023-05-29 11:33:01
Kaptain Amerika,INDIHOME SUPER LEMOT LAG BUFERING JARINGAN KACAU BANYAK KENDALA!,1,2023-05-29 11:18:06
M aziz,"Optimalisasi jaringan/koneksi masih buruk, dikasih hujan dikit langsung down,, yg mau berlangganan coba pikir lagi yaa, jgn sampai nyesel setahun",1,2023-05-29 11:17:37
Eddy Febr (HonMen),Okeeeeee,5,2023-05-29 11:17:33
Wilson Ang,Indihomo,1,2023-05-29 11:15:45
Valencia Putri,"Recomended banget buat di download, karena mudah banget digunakan dan pastinya bermanfaattt",5,2023-05-29 10:49:36
Juan Anto,Bagus,5,2023-05-29 10:17:29
Aura Rohman,Ok,4,2023-05-29 09:10:34
Mahesaa Mahesaa,Bagus,5,2023-05-29 09:04:36
Hari Wijayanto,Informatif,5,2023-05-29 08:52:07
ikhsan sujana,Good apk,5,2023-05-29 08:46:52
Zahra Almaira,penanganan yg cepat👍👍👍👍👍👍👍👍,5,2023-05-29 08:43:33
Edy Setiawan,"Selalu meningkatkan jaringan, tapi sama saja tidak ada perubahan, tetap lemot. 30mbps tidak ada rasanya.",1,2023-05-29 08:32:37
Rizal Fauzi,"Aplikasi my indihome ini menguntungkan, Sangat bermanfaat sekali, mudah dalam mengakses fitur-fiturnya, beragam program-program menarik, penawaran promo terbaik, pokoknya the best lah my indihome..",5,2023-05-29 08:30:43
Hasan Ridwan,Mantab,5,2023-05-29 08:19:21
Djofandi Cakra Pratama,my indihome aplikasi yg sangat memudahkan untuk transaksi . tingkatkan pengalaman jauh lebih mudah,5,2023-05-29 08:16:15
Muhammad Halim,nih gajelas nih WiFi nya ngeleg ngeleg an sama ilang ilangan terus jaringan nya,1,2023-05-29 08:05:40
hidayatur rahman,Mudah,5,2023-05-29 07:56:37
Sarjana Gaptek,Bagus,1,2023-05-29 07:54:39
Dimas Naufal fauzan,"aplikasinya sangat bagus dan recommended, bisa lihat tagihan wifi per bulannya tanpa harus datang ke plaza telkom, kerennn",5,2023-05-29 07:31:24
Alifia rosita,"Sangat rekomended, fitu2nya menarik dan dapat di gunakan dengan sangat mudah. Apalagi untuk saya yg menggunakan indihome di rumah",5,2023-05-29 07:31:11
Animek Iyowo,Bagus sekali apk ini sangat membantu 🥰,5,2023-05-29 07:28:44
adi cahyadi,Mantap 👍 dan terbantukan,5,2023-05-29 07:28:00
Fey,"Aplikasi buat para pengguna indihome yang sangat membantu, bisa tau tagihan kita berapa, dan harus bayar kapan, kerennn banget",5,2023-05-29 06:49:48
Jihon -,Aplikasi lemot di buka Menu pemakaian data gagal tampil,1,2023-05-29 06:48:44
Honsep Ko,Provider tolol,1,2023-05-29 06:46:54
Sahrul Batubara,Kok wifi indihome klo dipake main game lelet parah??😡,3,2023-05-29 06:44:36
Dendy Ariel,aplikasi nya bagus akses mudah juga reccomend buat yg mau pasang dan bisa diakses langsung pake aplikasi ini mudah cepat dan simple,5,2023-05-29 06:35:46
Isti Qomaria,"aplikasinya baguss. banyak dimudahkan dengan adanya aplikasi ini, banyak promo serta program nya yang variatif. perfect 👍",5,2023-05-29 06:14:10
muhammad haikal4815,"UI Aplikasi nya bagus, memudahkan saya dalam pembayaran WiFi Indihome",5,2023-05-29 06:05:23
GPAN Lombok Tengah,Aplikasinya berguna bgtt,5,2023-05-29 05:56:52
Aditia Kirana,Pelayanan sat set,5,2023-05-29 05:53:12
morphine 3rd,ok,5,2023-05-29 05:44:29
Rifdah Rahmi,pelayanannya bagus 👍🏻,5,2023-05-29 05:37:49
Muhammad Abdul Azis,Aplikasi oke mudah di gunakan di manapun tampilannya juga bagus gampang dimengerti rekomended banget sih buat orang yang ga mau ribet,5,2023-05-29 05:35:40
heru sugiarto,👍🏻👍🏻👍🏻,5,2023-05-29 05:32:41
Mangasa Manullang,"aplikasi jelek. sering lola. ntah kek mana ini developernya.... ganti server tuh. bagus sikit napa, malu sama swasta.",2,2023-05-29 05:04:04
Fatim Memey,Good job,5,2023-05-29 04:39:02
Saproni 87,"Susah di akses, mohon di perbaiki lagi",2,2023-05-29 04:36:59
IT Ndeso,"Aplikasi ok, semoga SEMAKIN MAJU",5,2023-05-29 04:34:56
sultoni syukri,"Aplikasi yang sangat membantu bagi pengguna indihome. Juga, mudah untuk digunakan. Tingkatkan.",5,2023-05-29 04:27:43
Putra,"Pemakaian nya praktis, gak ribet, cs nya juga ramah fast respon",5,2023-05-29 04:21:26
Diah Abra,"aplikasi sangat recommended, krn mudah digunakan dan fitur""nya sangat mudah dipahami. pengaduan pun sangat fast respon. alhamdulilah sudah 3 tahun bersama indihome",5,2023-05-29 04:20:47
Wan Anggun,Bagus,5,2023-05-29 04:17:07
Sherlyn Ruliana,Pertahankan,5,2023-05-29 04:16:58
Gusti Ellgaha,"Pelayanan cepat tepat, jaga terus kwalitas layanannya, semoga Indihome jaya selalu",5,2023-05-29 04:04:37
Jordan Js301,"Cs nya Fast respon.. Kendala yg saya alamin jadi lebih cepat selesai ketimbang sebelumnya saya belum menginstal aplikasi myIndihome Banyak promo dan harga yg terjangkau Semangat Indihome ,selalu tingkatkan Kualitasmu..",5,2023-05-29 03:38:21
Juara Official,Saya pakai SMOA 2 bulan data tidak masuk tapi tagihan masuk terus.,1,2023-05-29 03:35:27
m.wahid Fikri,Ok,5,2023-05-29 03:09:09
Fatimatus Zahro,"Gmn sih aplikasinya sering eror jadi gabisa ngaduin keluhan wifi, padahal tiap bulannya udah bayar mahal jadi kecewa sama pelayanan yg kayak gini",2,2023-05-29 02:56:21
Nur Nabila,"review jujur selama pake myindihome, ngebantu bgt jelass, untuk ayah ibu kerja, aku kuliah & adik sekolah apalagi waktu pandemi kemarin sekolah harus online. ditambah sekarang ada indihome useetv jadi makin makin ngebantu, channel lengkap walaupun ga buka all channel",5,2023-05-29 02:26:36
Rusli_GmG,Jika anda ingin pasang wifi rumahan cek aja di apk mayindihome menyediakan paketan murah dan sinyal nya ngebut banget pokonya yu pasang wifi rumahan pake indihome,5,2023-05-29 02:15:13
indo nesia,Dari jaman sekolah selalu percaya dengan apk ini Karena sangat membantu dan muda di pahami Dan fitur nya juga sangat lengkap,5,2023-05-29 01:49:01
Khadiza Nabasa Yogaswara,"aplikasinya bagus, mudah di gunakan, saya sangat terbantu adanya aplikasi ini, banyak fitur tambahan kaya perangkat yang terhubung, mengajukan klaim gangguan, terus juga bisa cek tagihan dan mengatur jadwal pemeliharaan dan masih banyak lagii",5,2023-05-29 01:46:00
Seputar Tv,Aplikasi My indihome sangat bagus. Mudah di pahami dan. Fitur fiturnya bagus. Recomend banget,5,2023-05-29 01:39:26
meinisa sisilia,Aplikasi ini sangat menarik dan rekomendasi sekali untuk di gunakan program nya juga menarik,5,2023-05-29 01:29:56
andik mey Pranoto,Indihome mantap pokoknya,5,2023-05-29 01:11:53
Louis Putra Ludovicus,"Ini sangat bagus, untuk pertama kali coba menggunakan indihome layanan super cepat. Aplikasi ini sangat membantu. Makasih MyIndihome.",5,2023-05-29 01:04:24
Siti Handayani,"Aplikasi my indihome gak lelet kalo pake WiFi, saya juga di rumah pake WiFi indihome emm mantap bangett nga lemot, Cs nya juga ramah",5,2023-05-29 01:03:31
Dhesny Pono,"Sangat baik, jjika ada ganggu cepat atasinya",5,2023-05-29 01:01:48
opek hunter,Keren sudah banyak perubahan terkait kendala lebih sigap dari sebelumnya,5,2023-05-29 00:53:43
Ripan Ganteng,Aplikasi my Indihome bgs sangat recommended pelayanan baik dn sinyl juga bgs,5,2023-05-29 00:50:00
Anny Cell,"Bagussss, aplikasi ini sangat membantu dan bermanfaat.",5,2023-05-29 00:35:58
Farhan Fajriansyah,bagus,5,2023-05-29 00:17:12
Erna Wijayanti,"bagusss, aplikasi myindihome sangat membantu dan fiturnya juga mudah dimengerti",5,2023-05-29 00:14:40
Fanuel Nuel,Mantap,5,2023-05-28 23:52:15
Anindya Choirunnisa,"Awalnya ikut2an berlangganan indihome karena untuk sekolah online anak2,sekarang sekolah sudah normal ternyata semakin kesini semakin merasakan manfaat indihome,sudah menjadi kebutuhan buat kami seluruh penghuni rumah..apalagi setelah download aplikasi my indihome jadi lebih mudah mengaksesnya..fitur2nya lengkap dan mau cek tagihan juga mudah.. pembayaran jg gampang bisa lewat shopee...makasih indihome ❤️",5,2023-05-28 21:20:17
KHAIRUL HILMI,"Aplikasi nya mantap luar biasa.hanya dengan satu aplikasi kita dapat menerima berbagai layanan yang menarik sesuai yg kita inginkan.pokok nya luar biasa ,terimaksih. Yg yang menarik lagi dengan kita memakai aplikasi my Indihome ini.kita bisa meng atifkan berbagi kuota internet dengan smooa.",5,2023-05-28 20:44:08
Silvika Wahyuni,Mantap aplikasinya,5,2023-05-28 18:37:03
Dony Juniadi,Pengajuan pemasangan dari Januari 2022 sampai 2023 belum di proses,1,2023-05-28 18:18:23
Yudie Cms,"Aplikasi sampah, ga pernah di apa2in tau2 logout. Giliran login kata sandi kadaluarsa minta di riset. Giliran di reset 3 kali token dari email yg di kirim katanya jg kadaluarsa. Sekarang akun sy di blokir. Gak mutu banget, sampah👎👎👎 gak sasuai sama bayarnya yg mahal👎👎👎👎👎👎🤭",1,2023-05-28 17:51:51
sinar wahyu,"Bagus dan bermanfaat bagi pengguna, semua tranparan",5,2023-05-28 17:43:58
Dwi Lizna,sangat bagus dan mempermudah,5,2023-05-28 16:55:08
yopi irvan,mantap,5,2023-05-28 16:37:37
Krismon Junaedi,Good,5,2023-05-28 16:30:30
Julia Shabrina,Aplikasi dengan fitur-fitur yang sangat membantu dan mudah di gunakan,5,2023-05-28 16:29:29
Luhur Darma,Penambahan ID Pel Tidak Bisa Hanya maksimal 3 Dan Verifikasi Identitas Juga tidak Bisa Mohon untuk segera di perbaiki,1,2023-05-28 16:07:05
Moch Fathur Rahman,Tydak ramah,1,2023-05-28 15:32:08
Vannes Silaban,Pelayanan baik internet jarang ada kendala customer care nya terbaik pelayanan cepat dan ramah,5,2023-05-28 15:15:45
sufii sufii,Indihome sudah bagus,5,2023-05-28 15:08:16
Yunita Piladani,"bagusss, aplikasinya berguna banget dan mempermudah bagi penggunanya",5,2023-05-28 15:04:36
Aris Purnama,Gercep,5,2023-05-28 14:32:53
Muhammad Zein,Cepat internetnya... Cepat perbaikannya jika ada kendala.. I love you pullll,5,2023-05-28 14:24:35
MARIO AP,👍,5,2023-05-28 14:20:11
juasyi darta,baguss mempermudah saya dalam beraktivitas,5,2023-05-28 14:17:33
Cici Nadila,sangat membantu,5,2023-05-28 14:10:46
Mary Aluna,"Recommended banget bagi yg Langganan Indihome dirumah, saya pribadi iyaaa sih!! Jadi lebih tau layanan layanan lainnya, UI nya juga menarik bgttt",5,2023-05-28 14:03:49
naufalia,apk sangat memudahkan pengguna indihome. kalau ada gangguan wifi langsung lapor lewat apk aja langsung ditangani teknisinya👍🏻,5,2023-05-28 14:01:42
_GRIAN YUSUF SIREGAR_,"Jaringan bagus, pelayanan nya bagus semuanyaaa bagus",5,2023-05-28 13:58:30
Raihan Maulana,aplikasinya sangat membantu,5,2023-05-28 13:46:07
lucas moses,"beberapa fitur dapat membantu kesulitan anda, sejauh ini sangat baik sih. mantap",5,2023-05-28 13:42:55
Daffa Sandhika,"Sangat memudahkan untuk melihat sisa kuota, jumlah tagihan, problem wifi, dll.",5,2023-05-28 13:40:09
Andini,Aplikasi mudah digunakan dan tidak membingungkan bisa langsung transaksi melalui aplikasi jugaa,5,2023-05-28 13:31:43
Aisyah Shinta devi,"bagus bangettt aplikasinya ,gampang digunain",5,2023-05-28 13:28:32
Ruspika Dewi,"Bagus banget aplikasinya, praktis",5,2023-05-28 13:21:37
Farhan,"Overall bagus, aplikasi mudahin para pengguna",5,2023-05-28 13:20:26
elia trifatonah,"Aplikasinya sangat lengkap fiturnya bisa melaporkan gangguan layanan IndiHome, cek tagihan, cek Poin myIndiHome, info pemakaian, serta layanan menarik lainnya. Sangat recomended mudah di gunakan juga.",5,2023-05-28 13:18:52
