sentiment_class,label,content
positif,1,desain aplikasi bagus mudah produk status paket aktif guna ada baik detail rincian paket aktif detail rincian tagih bayar pisah paket utama add ons upspeed tambah langgan detail pakai bulan detail fup internet guna batas fup
positif,1,semenjak indihome tidak ada lancar aman
negatif,0,indihome super lambat lag sangga jaring kacau kendala
negatif,0,optimalisasi jaring koneksi buruk kasih hujan langsung turun langgan coba pikir sesal tahun
positif,1,mantap
negatif,0,indihome
positif,1,rekomendasi banget unduh mudah banget guna pasti manfaat
positif,1,bagus
positif,1,mantap
positif,1,bagus
positif,1,informatif
positif,1,bagus aplikasi
positif,1,tangan cepat
negatif,0,tingkat jaring tidak ada ubah lambat mbps tidak ada
positif,1,aplikasi indihome untung manfaat mudah akses fitur fitur agam program program tarik tawar promo baik pokok baik indihome
positif,1,mantap
positif,1,indihome aplikasi mudah transaksi tingkat alam mudah
negatif,0,tidak jelas wifi ngelag ngelag hilang hilang jaring
positif,1,mudah
positif,1,bagus
positif,1,aplikasi bagus rekomendasi lihat tagih wifi bulan plaza telkom keren
positif,1,rekomendasi fitur tarik guna mudah indihome rumah
positif,1,bagus aplikasi bantu
positif,1,mantap bantu
positif,1,aplikasi guna indihome bantu tau tagih bayar keren banget
negatif,0,aplikasi lambat buka menu pakai data gagal tampil
negatif,0,provider tolol
negatif,0,wifi indihome pakai main game lambat parah
positif,1,aplikasi bagus akses mudah rekomendasi pasang akses langsung pakai aplikasi mudah cepat simpel
positif,1,aplikasi bagus mudah aplikasi promo program variatif sempurna
positif,1,ui aplikasi bagus mudah bayar wifi indihome
positif,1,aplikasi guna banget
positif,1,layan sat set
positif,1,mantap
positif,1,layan bagus
positif,1,aplikasi mantap mudah guna mana tampil bagus gampang erti rekomendasi banget orang tidak ribet
negatif,0,aplikasi jelek lambat kembang ganti server bagus sakit malu swasta
positif,1,bagus kerja
negatif,0,susah akses mohon baik
positif,1,aplikasi mantap moga maju
positif,1,aplikasi bantu guna indihome mudah guna tingkat
positif,1,pakai praktis tidak ribet cs ramah cepat respon
positif,1,aplikasi rekomendasi mudah guna fitur mudah paham adu cepat respon alhamdulillah indihome
positif,1,bagus
positif,1,tahan
positif,1,layan cepat jaga kualitas layan moga indihome jaya
positif,1,cs cepat respon kendala alami cepat selesai ketimbang menginstal aplikasi myindihome promo harga jangkau semangat indihome tingkat kualitas
negatif,0,pakai moga data tidak masuk tagih masuk
positif,1,mantap
negatif,0,aplikasi error tidak adu keluh wifi bulan bayar mahal kecewa layan
positif,1,tinjau jujur pakai myindihome bantu banget jelas ayah kerja kuliah adik sekolah pandemi kemarin sekolah online tambah ada indihome useetv bantu channel lengkap tidak buka channel
positif,1,pasang wifi rumah cek aja aplikasi myindihome sedia paket murah sinyal ngebut banget pokok pasang wifi rumah pakai indihome
positif,1,jaman sekolah percaya aplikasi bantu muda paham fitur lengkap
positif,1,aplikasi bagus mudah guna bantu aplikasi fitur tambah kaya perangkat hubung aju klaim ganggu cek tagih atur jadwal pelihara
positif,1,aplikasi indihome bagus mudah paham fitur fitur bagus rekomendasi banget
positif,1,aplikasi tarik rekomendasi guna program tarik
positif,1,indihome mantap pokok
positif,1,bagus kali coba indihome layan super cepat aplikasi bantu terima kasih myindihome
positif,1,aplikasi indihome tidak lambat pakai wifi rumah pakai wifi indihome mantap banget tidak lambat cs ramah
positif,1,baik ada ganggu cepat atas
positif,1,keren ubah kait kendala sigap
positif,1,aplikasi indihome bagus rekomendasi layan baik sinyal bagus
positif,1,bagus aplikasi bantu manfaat
positif,1,bagus
positif,1,bagus aplikasi myindihome bantu fitur mudah erti
positif,1,mantap
positif,1,ikut langgan indihome sekolah online anak sekolah normal kesini rasa manfaat indihome butuh huni rumah unduh aplikasi indihome mudah akses fitur lengkap cek tagih mudah bayar gampang shopee terima kasih indihome
positif,1,aplikasi mantap aplikasi terima layan tarik sesuai pokok terima kasih tarik pakai aplikasi indihome aktif bagi kuota internet moga
positif,1,mantap aplikasi
negatif,0,aju pasang januari proses
negatif,0,aplikasi sampah tidak tau logout gilir login sandi kadaluarsa riset gilir reset kali token email kirim kadaluarsa akun blokir tidak mutu banget sampah tidak sesuai bayar mahal
positif,1,bagus manfaat guna transparan
positif,1,bagus mudah
positif,1,mantap
positif,1,bagus
positif,1,aplikasi fitur fitur bantu mudah guna
negatif,0,tambah id langgan tidak maksimal verifikasi identitas tidak mohon baik
negatif,0,tidak ramah
positif,1,layan baik internet jarang ada kendala langgan peduli baik layan cepat ramah
positif,1,indihome bagus
positif,1,bagus aplikasi guna banget mudah guna
positif,1,gerak cepat
positif,1,cepat internet cepat baik ada kendala cinta
positif,1,bagus mudah aktivitas
positif,1,bantu
positif,1,rekomendasi banget langgan indihome rumah pribadi tau layan layan ui tarik banget
positif,1,aplikasi mudah guna indihome ada ganggu wifi langsung lapor aplikasi aja langsung tangan teknisi
positif,1,jaring bagus layan bagus bagus
positif,1,aplikasi bantu
positif,1,fitur bantu sulit baik mantap
positif,1,mudah sisa kuota tagih wifi
positif,1,aplikasi mudah guna tidak bingung langsung transaksi aplikasi
positif,1,bagus banget aplikasi gampang guna
positif,1,bagus banget aplikasi praktis
positif,1,bagus aplikasi mudah guna
positif,1,aplikasi lengkap fitur lapor ganggu layan indihome cek tagih cek poin myindihome info pakai layan tarik rekomendasi mudah guna
positif,1,aplikasi bagus bantu guna
positif,1,aplikasi bagus mudah guna
positif,1,aplikasi myindihome bantu fitur fitur mudah beli paket baik minggu layan baik online
positif,1,fitur fasilitas aplikasi myindihome manfaat isi tarik tampil mantap tidak lambat guna aplikasi mudah giat hubung internet milik layan jangkau mudah indihome baik
positif,1,aplikasi mudah guna bayar tagih tidak rumah aplikasi langsung
positif,1,aplikasi bagus rekomendasi aplikasi tidak bikin bingung mudah guna ragu pakai aplikasi bingung sulit aplikasi mudah guna layan aplikasi layan bagus cepat respon ramah fitur guna aplikasi pokok cocok aplikasi
positif,1,puas
negatif,0,kecewa layan indihome tele tidak saran layan indihome tele janji pasang jam siang jam malam nyata suruh tunggu besok
positif,1,puas
positif,1,aplikasi myindihome mudah guna bantu tidak ribet rumah bayar tagih indihome promo myindihome
positif,1,aplikasi jalan cepat ganggu layan myindihome respon cepat jaring ganggu myindihome langsung menindaklanjuti top
positif,1,tidak berat hp mudah akses tidak ribet cepat tanggap
negatif,0,aplikasi diupdate tidak adu
positif,1,aplikasi myindihome rekomendasi fitur guna
positif,1,myindihome kesini kerja ubah baik layan prima maju
positif,1,mantap baik layan indihome kencang stabil jaring internet
positif,1,aplikasi untung tawar tarik ada adu mudah tinggal chat aja bagus aplikasi
negatif,0,aplikasi lambat hp sinyal halaman aplikasi aja loadingnya putar
positif,1,rekomendasi tahun pakai indihome jarang banget lag aplikasi mudah bayar bagus poin tukar voucher
positif,1,aplikasi rekomendasi fitur fitur manfaat mudah pakai bagus kerja
positif,1,aplikasi myindihome bantu aplikasi cepat wifi pakai indihome milik channel tv konten seru beharap indihome depan stabil jaya
positif,1,aplikasi bantu guna rekomendasi teman wifi pilih aja indihome
positif,1,program tarik mudah guna tampil sederhana mudah erti layan tingkat
positif,1,aplikasi myindihome bantu
positif,1,pasang cepat transparan
positif,1,indihome keren fitur mudah erti aman
positif,1,bagus aplikasi promonya tampil aplikasi simpel tidak bikin bingung guna top banget
positif,1,aplikasi banget promonya jelas promonya mudah paham suka banget aplikasi informatif fitur banget bagus banget
positif,1,sinyal kuat biaya golong murah rekomendasi banget pokok
positif,1,aplikasi bantu kontrol tagih fitur gampang banget paham cek status jaring riwayat guna data perangkat hubung terima kasih indihome bantu
negatif,0,bayar pakai wifi indihome sinyal kaya hutang aja sinyal lambat
positif,1,aplikasi bagus cepat bayar
positif,1,jaring indihome baik teman rumah pakai jaring wifi promonya tarik banget pakai indihome layan mudah cerna wifi rekomendasi pokok
positif,1,aplikasi mudah guna bantu guna indihome
positif,1,aplikasi myindihome bagus guna tampil mudah paham cs ramah
negatif,0,muncul ingat jaring isolir ganggu tidak ganti password wifi manual
positif,1,guna indihome senang banget mantap aplikasi fitur bantu apa mudah cepat banget cek tagih lapor ada ganggu serba cepat suka banget pokok
positif,1,aplikasi myindihome bantu mudah guna aplikasi pantau sinyal riwayat guna data pokok rekomendasi
positif,1,mudah kontrol guna wifi
positif,1,aplikasi mudah guna bagus rekomendasi
negatif,0,coba bingung masuk nomor indihome
positif,1,aja
positif,1,terima kasih myindihome bantu urus indihome biaya bulan murah
positif,1,mudah ganti password wifi
negatif,0,jaring kalah ribu
positif,1,guna myindihome senang banget tau ada aplikasi bantu fitur bagus
positif,1,pakai aplikasi myindihome baru kali aplikasi baik tampil tarik
positif,1,bagus internet rekomendasi
positif,1,suka banget aplikasi bagus kerja tim myindihome guna myindihome bantu aplikasi
positif,1,aplikasi keren banget fitur tarik bantu guna indihome
positif,1,respon cepat minta adu aplikasi langsung selesai
positif,1,aplikasi mudah guna fitur tarik pantau teknisi tidak repot pantau aplikasi
positif,1,guna indihome bantu aplikasi myindihome ui tarik bikin betah proses proses aplikasi
positif,1,mager aplikasi bantu bagus sesuai segi tampil top kasih bintang bantu moga kembang guna mudah aplikasi
positif,1,bagus banget indihome program program tarik terupdate lancar rekomendasi
positif,1,aplikasi bantu pakai layan indihome tampil aplikasi bagus tarik mata tidak jenuh pakai aplikasi
positif,1,aplikasi bantu banget ecek layan indihome rekomendasi pokok
positif,1,aplikasi bagus banget langgan indihome aktivasi ott video streaming lapor ganggu layan indihome cek tagih layan tarik
positif,1,bagus
positif,1,bagus
positif,1,milik promo tarik tampil mudah paham mudah guna terima kasih indihome
positif,1,aplikasi bagus mudah guna rekomendasi banget
positif,1,aplikasi mudah ada internet indihome gampang lapor via indihome pokok puas aplikasi myindihome
positif,1,bagus
negatif,0,kelas indihome buka aplikasi aja lambat banget
positif,1,layan baik keluh apa respon terima kasih kasih bebas set top box langgan
negatif,0,percaya indihome pasang aja tugas sok baik sok ramah dengar komplain orang pindah tugas sok budek tidak dengar keluh orang ada pindah wifi gtu aja ada proses nama nama tidak nyaman langgan
negatif,0,aplikasi tolol pakai jaring bilang error kontol
positif,1,aplikasi mudah akses informasi bantu
positif,1,mantap coba indihome
positif,1,aplikasi guna banget bantu
positif,1,provider internet baik turut jaring stabil jangkau pelosok kampung langgan layan tanggap layan keluh komplain ada ganggu aplikasi cepat selesai moga depan jaga puas langgan setia indihome bravo telkom
positif,1,layan bagus
positif,1,mantap dah harga mahal puas
positif,1,suka
positif,1,aplikasi bagus mudah pakai
positif,1,aplikasi bagus bantu mudah
positif,1,aplikasi mudah guna tidak bingung langsung transaksi aplikasi
positif,1,aplikasi myindihome versi baru gampang banget daftar layan indihome ada fitur tarik kaya beli paket internet minggu bulan paket game khusus game kirim lapor ganggu wifi masalah tidak antri cabang telkom kirim lapor aplikasi tinggal tunggu teknisi rumah atas wifi mantap
positif,1,bagus kerja
positif,1,aplikasi guna banget guna indihome keluarga tidak khawatir tinggal tanggal tagih
positif,1,teknisi garcep tentu
positif,1,bagus kerja
negatif,0,indihome lambat main bayar tidak telat
positif,1,bagus
positif,1,baik cepat terima kasih indihome
positif,1,mudah kontrol wifi rumah
positif,1,puas
negatif,0,cepat tidak sesuai paket
negatif,0,ganggu parah
positif,1,aplikasi bagus bantu
positif,1,mantap
positif,1,fitur aplikasi mudah paham guna bantu pantau wifi rumah
negatif,0,wifi indihome lambat gilir tagih jaring lambat biarin aja
positif,1,aplikasi mantap
positif,1,aplikasi bagus mudah akses layan indihome tidak ribet kantor promonya mantap sukses indihome
negatif,0,wifi tidak koneksi mohon aktif
positif,1,mantap
positif,1,pasang indihome instal aplikasi myindihome mudah pantau bayar paket bulan aplikasi indihome mudah percaya akurat moga myindihome depan maju
negatif,0,ganggu massal tangan
positif,1,aplikasi bantu mudah paham mula aplikasi indihome bantu pantau tagih pakai wifi aju keluh langgan layan cepat respon
positif,1,bagus banget aplikasi ecek bayar tagih indihome promo
positif,1,aplikasi mudah guna fitur fitur mudah guna nyaman aplikasi aplikasi mudah koneksi internet
negatif,0,login tidak wifi ganggu mekanik tidak
positif,1,aplikasi bagus banget unduh cocok pakai indihome pasang indihome fitur lengkap ada lapor layan bagus unduh myindihome
positif,1,mantap
positif,1,fitur menu mudah paham jarang ngebug pokok mantap cek butuh wifi hp
positif,1,pakai aplikasi bantu ada kendala tangan cepat respon tampil sederhana fitur tidak ribet mudah erti promo pokok rekomendasi banget
positif,1,bagus benar aktivitas batas
positif,1,tampil simpel menu tidak buruk mudah erti tidak ribet pantau koneksi cek tagih top bintang
positif,1,guna adu layan simpel
positif,1,aplikasi bagus kali unduh fitur lengkap banget cocok banget mula wifi layan cepat respon
negatif,0,lambat parah tidak aplikasi tidak providernya
positif,1,aplikasi bagus mudah guna bantu terima kasih indihome
positif,1,mantap banget bantu
positif,1,aplikasi bantu banget tunjuk pas mudah paham moga tingkat kualitas
positif,1,padan segi koneksi cepat
positif,1,fitur mudah paham tidak ribet
positif,1,keluh respon cepat
positif,1,puas
positif,1,aplikasi bantu pilih paket langgan fitur bagus mudah erti
positif,1,aplikasi jalan lancar tampil ui mudah erti lancar mantap
positif,1,mudah langgan banget tau tagih kelola uang rumah tangga rekomen abis
positif,1,mantap mantap
positif,1,aplikasi mudah erti guna tampil simpel tidak bikin pusing bingung
positif,1,aplikasi bagus bantu fitur mudah paham layan baik
positif,1,aplikasi mudah guna indihome gampang lihat tagih ada langsung komplain praktis pokok mantap
positif,1,guna bantu aplikasi lancar mudah akses tampil aplikasi enak lihat
positif,1,guna indihome bantu aplikasi simpel mudah guna info kendala koneksi wifi restart modem teknisi tertawa terima kasih myindihome
positif,1,bagus sinyal stabil
positif,1,aplikasi bantu mudah pakai dati fitur mudah paham mudah kendali android relevan coba
positif,1,aplikasi bantu guna indihome pakai lancar tidak ada kendala mudah erti fitur sukses kembang
positif,1,mudah bayar tagih indihome
positif,1,keren banget fitur bantu
positif,1,aplikasi bantu atur wifi fitur layan manfaat
positif,1,tampil bagus mudah erti tawar spesial
positif,1,aplikasi bantu mudah paham
positif,1,bantu
positif,1,mantap pakai indihome jarang banget ada sekali ada cepat selesai
positif,1,daftar mudah tidak ribet fitur fitur mudah paham
positif,1,aplikasi myindihome mudah guna fitur guna
positif,1,cek tagih lihat promo aplikasi myindihome
positif,1,mantap
positif,1,aplikasi bantu banget fitur mudah paham aplikasi lancar tidak bug mudah pantau koneksi wifi rumah
positif,1,aplikasi kontrol id langgan super mudah bantu gerai telkomsel baring administrasi selesai
positif,1,aplikasi bagus banget paket murah indihome jaring luas
negatif,0,aplikasi jelek
positif,1,pakai indihome rumah myindihome guna optimalisasi wifi rumah tidak ganggu mudah ganti password mudah nambah paket habis manfaat
positif,1,aplikasi bantu
negatif,0,aplikasi payah login aja susah
positif,1,ada ganggu cepat tanggap terima kasih moga puas langgan
positif,1,aplikasi bagus mulus lancar uinya mudah paham layan mantap saran bayar qris biar mudah bayar terima kasih
negatif,0,henti pakai alamat pasang tidak daftar akun tidak tera alamat daftar kasih alamat akurat alamat pas cek tidak tera aplikasi solusi suruh
positif,1,aplikasi kece banget tidak ragu fitur fitur lengkap banget tampil super kece cinta banget aplikasi
positif,1,aplikasi bantu banget guna mudah aplikasi rekomendasi banget tidak sesal unduh
positif,1,aplikasi mudah guna simpel tidak bingung langgan layan lumayan moga baik jaring
positif,1,aplikasi rekomendasi jelas tidak ribet bayar poin kumpul tukar mudah pakai kualitas kuat tidak ngelag pakai
positif,1,lebih alam aplikasi bagus tampil mudah erti mudah layan provider
positif,1,aplikasi bantu cocok pasang wifi rumah kendala sinyal suka banget kadang lancar guna
positif,1,mudah aplikasi lambat
negatif,0,aplikasi lambat layan internet tidak stabil putus cepat tidak maksimal
negatif,0,niat tidak bikin jaring bikin emosi pakai indihome provider pasang provider pasang daerah bangkrut
negatif,0,lambat
positif,1,moga cepat
positif,1,aplikasi bantu
positif,1,puas
positif,1,aplikasi bantu banget fitur mudah guna informasi detail tidak ribet
positif,1,bagus mudah banget
positif,1,bantu aplikasi guna wifi indihome cek tagih aja hubung wifi pakai internet enak tambah cepat klik auto kencang tidak ada kendala langsung adu via aplikasi langgan tidak ganggu pokok lancar jaya sukses telkom sukses bumn
positif,1,internet cepat stabil
positif,1,terima kasih
positif,1,advan
negatif,0,aplikasi tolol
negatif,0,aplikasi lambat tidak server bagus tim erti bikin aplikasi bagus
positif,1,aplikasi myindihome rasa manfaat bantu jaring internet rumah alami ganggu tinggal lapor aplikasi tugas hubung tangan bayar tagih mudah praktis terima kasih moga fitur inovatif
positif,1,aplikasi bagus bantu ada ganggu lapor aplikasi myindihome respon langsung tiket lapor hubung indihome
negatif,0,ada menu lapor tulisanya baik
positif,1,mantap bantu
positif,1,guna mudah guna
positif,1,pakai indihome puas
positif,1,puas waspada habis kuota emak senang anak senang
positif,1,bantu
positif,1,mantap pokok indihome indihome
negatif,0,susah banget login kadang jaring tidak ada bincang error
positif,1,internet super kencang anti lambat bayar murah maka puas rekomendasi butuh internet stabil jarang ada ganggu salam anak medan
positif,1,mudah aplikasi lambat
positif,1,mudah pantau tanggal bayar fitur bagus guna
positif,1,aplikasi bantu layan ramah suka banget
positif,1,myindihome aplikasi bantu mudah atur layan indihome muka intuitif fitur lengkap mudah periksa tagih ubah paket layan kelola jadwal teknisi layan langgan responsif alam baik puas kualitas aplikasi senang hati rating bintang myindihome
positif,1,indihome tidak ada lawan hujan panas badai jaring mantap
positif,1,tingkat layan kalah kompetitor paket paket biar langgan tidak kabur kompetitor sukses
positif,1,puas banget pakai indihome layan keluh direspon cepat bagus pokok
positif,1,alhamdulillah pakai indihome internet lancar jaya
positif,1,aplikasi bantu rekomendasi banget
positif,1,aplikasi bantu pakai internet aplikasi tidak ribet pas daftar isi konten aplikasi tarik poin lacak aplikasi indihome tukar bulan merchandise keren keren moga tahan layan baik indihome
positif,1,indihome asik jaring mantap tidak lambat
positif,1,senang banget aplikasi myindihome mudah bayar langgan mudah bantu lihat koneksi ganggu tidak baik
positif,1,aplikasi bagus mudah erti mudah tagih mudah koneksi wifi
positif,1,bagus banget fitur fitur baik
positif,1,suka banget aplikasi wifi lancar lancar indihome jaya
positif,1,mantap mantap
positif,1,myindihome bantu tagih promo ada teknisi ramah cepat tanggap ada ganggu
positif,1,bantu dukung konsultasi jarak ikut tagih biar tidak lebih budget
positif,1,aplikasi bagus
positif,1,aplikasi bantu ada langsung pantau ada ganggu adu cepat promo diskon mudah bayar butuh paket nambah paket suka banget pokok
positif,1,bantu
positif,1,aplikasi bantu tagih bulan bayar mudah bayar tanggal jatuh tempo ada fitur fitur tarik
positif,1,aplikasi bagus mudah guna jelas pilih paket internet mudah guna pilih paket sesuai butuh
positif,1,keren banget mudah paham guna
negatif,0,aplikasi sampah tidak lapor ada ganggu kabel putus bahaya guna jalan
positif,1,aplikasi bantu bagus terima kasih bantu
negatif,0,lag
positif,1,suka banget aplikasi mudah cek koneksi wifi aplikasi mudah erti tagih
positif,1,aplikasi bantu pantau wifi tampil mudah erti paham guna top banget myindihome moga kembang inovasi bidang teknologi
positif,1,moga baik tingkat
positif,1,aplikasi myindihome bantu bayar tagih promo untung layan baik
positif,1,puas
positif,1,bantu layan cepat tidak kantor lapor masalah wifi bonus beli paket
positif,1,mantap
positif,1,bantu
positif,1,aplikasi bantu banget guna kaya gampang guna fitur ada dalam lengkap ada cepat beres rekomen banget
negatif,0,bayar kemarin aplikasi bilang bayar error tidak ada internet parah indihome
positif,1,tampil mudah lengkap
negatif,0,tidak pantau hubung
positif,1,suka banget myindihome bantu guna butuh konsultasi cek tagih mudah layan bagus
positif,1,aplikasi bantu guna ramah promo tarik lihat perangkat hubung wifi
positif,1,aplikasi bantu fitur mudah paham promo tarik keren keren
positif,1,adu aplikasi responsif terima kasih
positif,1,keren aplikasi mudah guna cari pilih paket langgan indihome ecek tagih aplikasi indihome fitur fitur tarik coba
positif,1,aplikasi rekomendasi guna gabung indihome fitur sedia aplikasi bayar pelihara adu wifi kontrol moga promo indihome
positif,1,aplikasi bantu mudah pantau aktivitas koneksi wifi rumah
negatif,0,aplikasi indihome payah ganggu susah buka bagus baru tolong baik kembang aplikasi
positif,1,rekomendasi pasang wifi harga murah langsung aja aplikasi indihome
positif,1,aplikasi keren banget mudah guna
positif,1,aplikasi bagus manfaat fitur fitur ada dalam bantu manfaat
positif,1,bantu aplikasi indihome tambah paket bayar layan ada aplikasi tidak ribet cari telepon teknisi fitur lengkap
positif,1,suka wifinya kencang minim layan cepat
positif,1,aplikasi mudah guna tawar internet tarik fitur fitur mudah guna
positif,1,aplikasi guna fitur fitur ada dalam manfaat
positif,1,mudah erti
positif,1,suka banget pakai indihome bantu jaring lancar banget
positif,1,salah platform internet baik indonesia murah mudah cepat
positif,1,indihome wifi bagus coba jaring bagus banget jarang ada ada tangan cepat baik pokok
negatif,0,ada aja fup beli cepat refreshment koplak tunggu suruh tunggu ada pasti
positif,1,aplikasi myindihome bagus rekomendasi aplikasi mudah guna program layan tarik cek status jaring riwayat guna data perangkat hubung wifi banget pilih fitur
positif,1,pakai indihome bagus banget jaring cepat sinyal bagus enak youtube tidak load pokok cinta indihome
positif,1,guna setia indihome jangkau luas tambah aplikasi milik fitur fitur guna total tagih lapor ganggu bantu aplikasi
positif,1,pakai indihome rumah kadang tidak tau jadwal bayar tagih pakai aplikasi lacak bagus banget manfaat pribadi
